1:0 = Stone =  Stone (#0001)
2:0 = Grass Block =  Grass Block (#0002)
3:0 = Dirt =  Dirt (#0003)
4:0 = Cobblestone =  Cobblestone (#0004)
5:0 = Oak Wood Planks =  Oak Wood Planks (#0005/0)
5:1 = Spruce Wood Planks =  Spruce Wood Planks (#0005/1)
5:2 = Birch Wood Planks =  Birch Wood Planks (#0005/2)
5:3 = Jungle Wood Planks =  Jungle Wood Planks (#0005/3)
6:0 = Oak Sapling =  Oak Sapling (#0006/0)
6:1 = Spruce Sapling =  Spruce Sapling (#0006/1)
6:2 = Birch Sapling =  Birch Sapling (#0006/2)
6:3 = Jungle Sapling =  Jungle Sapling (#0006/3)
7:0 = Bedrock =  Bedrock (#0007)
12:0 = Sand =  Sand (#0012)
13:0 = Gravel =  Gravel (#0013)
14:0 = Gold Ore =  Gold Ore (#0014)
15:0 = Iron Ore =  Iron Ore (#0015)
16:0 = Coal Ore =  Coal Ore (#0016)
17:0 = Oak Wood =  Oak Wood (#0017/0)
17:1 = Spruce Wood =  Spruce Wood (#0017/1)
17:2 = Birch Wood =  Birch Wood (#0017/2)
17:3 = Jungle Wood =  Jungle Wood (#0017/3)
18:0 = Oak Leaves =  Oak Leaves (#0018/0)
18:1 = Spruce Leaves =  Spruce Leaves (#0018/1)
18:2 = Birch Leaves =  Birch Leaves (#0018/2)
18:3 = Jungle Leaves =  Jungle Leaves (#0018/3)
19:0 = Sponge =  Sponge (#0019)
20:0 = Glass =  Glass (#0020)
21:0 = Lapis Lazuli Ore =  Lapis Lazuli Ore (#0021)
22:0 = Lapis Lazuli Block =  Lapis Lazuli Block (#0022)
23:0 = Dispenser =  Dispenser (#0023)
24:0 = Sandstone =  Sandstone (#0024/0)
24:1 = Chiseled Sandstone =  Chiseled Sandstone (#0024/1)
24:2 = Smooth Sandstone =  Smooth Sandstone (#0024/2)
25:0 = Note Block =  Note Block (#0025)
27:0 = Booster Track =  Booster Track (#0027)
28:0 = Detector Track =  Detector Track (#0028)
29:0 = Sticky Piston =  Sticky Piston (#0029)
30:0 = Cobweb =  Cobweb (#0030)
31:1 = Grass =  Grass (#0031/1)
31:2 = Fern =  Fern (#0031/2)
32:0 = Dead Bush =  Dead Bush (#0032)
33:0 = Piston =  Piston (#0033)
35:0 = Wool =  Wool (#0035/0)
35:1 = Orange Wool =  Orange Wool (#0035/1)
35:2 = Magenta Wool =  Magenta Wool (#0035/2)
35:3 = Light Blue Wool =  Light Blue Wool (#0035/3)
35:4 = Yellow Wool =  Yellow Wool (#0035/4)
35:5 = Lime Wool =  Lime Wool (#0035/5)
35:6 = Pink Wool =  Pink Wool (#0035/6)
35:7 = Gray Wool =  Gray Wool (#0035/7)
35:8 = Light Gray Wool =  Light Gray Wool (#0035/8)
35:9 = Cyan Wool =  Cyan Wool (#0035/9)
35:10 = Purple Wool =  Purple Wool (#0035/10)
35:11 = Blue Wool =  Blue Wool (#0035/11)
35:12 = Brown Wool =  Brown Wool (#0035/12)
35:13 = Green Wool =  Green Wool (#0035/13)
35:14 = Red Wool =  Red Wool (#0035/14)
35:15 = Black Wool =  Black Wool (#0035/15)
37:0 = Flower =  Flower (#0037)
38:0 = Rose =  Rose (#0038)
39:0 = Mushroom =  Mushroom (#0039)
40:0 = Mushroom =  Mushroom (#0040)
41:0 = Block of Gold =  Block of Gold (#0041)
42:0 = Block of Iron =  Block of Iron (#0042)
44:0 = Stone Slab =  Stone Slab (#0044/0)
44:1 = Sandstone Slab =  Sandstone Slab (#0044/1)
44:3 = Cobblestone Slab =  Cobblestone Slab (#0044/3)
44:4 = Bricks Slab =  Bricks Slab (#0044/4)
44:5 = Stone Bricks Slab =  Stone Bricks Slab (#0044/5)
